nlu,id,start,stop,spkr,VAL,MET,DIV,DUD,TOP,ITEM,GDA,NDA,CONT,FRA,make_offer,ask_offer,accept,reject,ask_preference,share_preference,assistant_record,user_record,assistant_lamp,user_lamp,assistant_painting,user_painting,utt,context_str,dialogue_num
NaN,"""seg023-0045""",137.842,138.742,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""but this has no value <va>""","""Alice: since you're letting me have one <laughter>\nBob: but bernita\nBob: you got two lamps you got\nAlice: i have two lamps and a crate\nAlice: the three crates together are the most valuable item that we have""",23
NaN,"""seg023-0049""",138.932,139.322,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""value""","""Alice: since you're letting me have one <laughter>\nBob: but bernita\nBob: you got two lamps you got\nAlice: i have two lamps and a crate\nAlice: the three crates together are the most valuable item that we have\nBob: but this has no value <va>""",23
NaN,"""seg023-0053""",139.607,140.017,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['Statement']""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""but this has no value <va> value period""","""Bob: you got two lamps you got\nAlice: i have two lamps and a crate\nAlice: the three crates together are the most valuable item that we have""",23
NaN,"""seg023-0057""",139.655,141.2,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['Statement']""","""[]""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""well it has a little bit of value""","""Bob: you got two lamps you got\nAlice: i have two lamps and a crate\nAlice: the three crates together are the most valuable item that we have\nBob: but this has no value <va>\nBob: value\nBob: period""",23
NaN,"""seg023-0061""",141.112,142.402,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['No-answers', 'Statement']""","""[]""","""[]""","""[]""",0,0,0,1,0,0,0,0,0,0,0,0,"""no it has no value""","""Alice: i have two lamps and a crate\nAlice: the three crates together are the most valuable item that we have\nBob: but this has no value <va>\nBob: value\nBob: period\nAlice: well it has a little bit of value""",23
NaN,"""seg023-0065""",142.165,146.98,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['No-answers', 'Statement']""","""[]""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,1,0,0,0,0,0,0,0,0,"""no it does if you remember that it's a little value there is little value attached to""","""Alice: the three crates together are the most valuable item that we have\nBob: but this has no value <va>\nBob: value\nBob: period\nAlice: well it has a little bit of value\nBob: no it has no value""",23
NaN,"""seg023-0069""",142.897,143.097,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""mm""","""Alice: i have two lamps and a crate\nAlice: the three crates together are the most valuable item that we have\nBob: but this has no value <va>\nBob: value\nBob: period\nAlice: well it has a little bit of value\nBob: no it has no value\nAlice: no it does if you remember that it's a little value there is little value attached to""",23
NaN,"""seg023-0073""",147.522,149.91,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['Statement']""","""['confirm-CONT']""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""the painting yes it is it's a little value""","""Bob: period\nAlice: well it has a little bit of value\nBob: no it has no value\nAlice: no it does if you remember that it's a little value there is little value attached to\nBob: mm""",23
NaN,"""seg023-0077""",148.607,149.167,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""bernita""","""Bob: value\nBob: period\nAlice: well it has a little bit of value\nBob: no it has no value\nAlice: no it does if you remember that it's a little value there is little value attached to\nBob: mm\nAlice: the painting yes it is it's a little value""",23
NaN,"""seg023-0081""",149.457,150.417,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""on the quiz""","""Alice: well it has a little bit of value\nBob: no it has no value\nAlice: no it does if you remember that it's a little value there is little value attached to\nBob: mm\nAlice: the painting yes it is it's a little value\nBob: bernita""",23
NaN,"""seg023-0085""",150.997,154.0,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['Statement']""","""['confirm-CONT']""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""bernita on the quiz it said no value and that's what she had me to check off""","""Alice: no it does if you remember that it's a little value there is little value attached to\nAlice: the painting yes it is it's a little value""",23
NaN,"""seg023-0089""",155.372,156.962,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""i have no reason to lie but anyway""","""Alice: no it does if you remember that it's a little value there is little value attached to\nAlice: the painting yes it is it's a little value\nBob: bernita\nBob: on the quiz\nBob: it said no value and that's what she had me to check off""",23
NaN,"""seg023-0093""",157.59,158.777,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""i have these two""","""Alice: the painting yes it is it's a little value\nBob: bernita\nBob: on the quiz\nBob: it said no value and that's what she had me to check off\nBob: i have no reason to lie but anyway""",23
NaN,"""seg023-0097""",158.946,159.576,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""right""","""Alice: the painting yes it is it's a little value\nBob: on the quiz\nBob: it said no value and that's what she had me to check off\nBob: i have no reason to lie but anyway\nBob: i have these two""",23
NaN,"""seg023-0101""",159.607,161.447,"""B""","""[]""","""[]""","""['R1 L2 P0']""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['reference-to-DIV']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""i have these two and you have one""","""Bob: it said no value and that's what she had me to check off\nBob: i have no reason to lie but anyway""",23
NaN,"""seg023-0109""",162.73,164.45,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['this-proposal-is-unfair']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""so don't you think that's kinda unconscionable""","""Bob: i have no reason to lie but anyway\nBob: i have these two\nAlice: right\nBob: and you have one\nAlice: mhm""",23
NaN,"""seg023-0113""",165.02,165.73,"""B""","""[]""","""['interrupted']""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""because you could""","""Bob: i have no reason to lie but anyway\nBob: i have these two\nAlice: right\nBob: and you have one\nAlice: mhm\nBob: so don't you think that's kinda unconscionable""",23
NaN,"""seg023-0117""",165.501,170.79,"""A""","""[]""","""[]""","""['R2 L0 P1']""","""[]""","""[]""","""['paintings']""","""['No-answers', 'Statement']""","""[]""","""['reference-to-DIV']""","""[]""",0,0,0,1,0,0,0,0,0,0,0,0,"""not at all not at all because you would rather me have the painting which is no value""","""Bob: and you have one\nAlice: mhm\nBob: so don't you think that's kinda unconscionable\nBob: because you could""",23
NaN,"""seg023-0121""",171.635,172.145,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""yeah""","""Alice: mhm\nBob: so don't you think that's kinda unconscionable\nBob: because you could\nAlice: not at all not at all because you would rather me have the painting which is no value""",23
"""nlu1""","""seg023-0125""",171.635,174.68,"""B""","""['negative']""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""[]""","""['confirm-CONT']""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""i thought oh so now you agree <ag>""","""Bob: because you could\nAlice: not at all not at all because you would rather me have the painting which is no value\nAlice: yeah""",23
"""nlu2""","""seg023-0125""",171.635,174.68,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers', 'Statement']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""okay exactly""","""Bob: because you could\nAlice: not at all not at all because you would rather me have the painting which is no value\nAlice: yeah\nBob: i thought oh so now you agree <ag>""",23
NaN,"""seg023-0129""",172.9,176.71,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['paintings']""","""['Statement']""","""[]""","""['the-value-of-ITEM-is-uncertain']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""well that's what you're saying that is no value i i remember differently but that's okay""","""Alice: not at all not at all because you would rather me have the painting which is no value\nAlice: yeah\nBob: i thought oh so now you agree <ag> okay exactly""",23
NaN,"""seg023-0133""",176.772,177.122,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""okay""","""Alice: not at all not at all because you would rather me have the painting which is no value\nAlice: yeah\nBob: i thought oh so now you agree <ag> okay exactly\nAlice: well that's what you're saying that is no value i i remember differently but that's okay""",23
NaN,"""seg023-0137""",177.155,182.63,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""um uh so you'd rather me have the low value or no value painting""","""Bob: i thought oh so now you agree <ag> okay exactly\nAlice: well that's what you're saying that is no value i i remember differently but that's okay\nBob: okay""",23
NaN,"""seg023-0141""",182.937,184.737,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""a little <l> and you have the two""","""Alice: well that's what you're saying that is no value i i remember differently but that's okay\nBob: okay\nAlice: um uh so you'd rather me have the low value or no value painting""",23
NaN,"""seg023-0145""",185.177,188.65,"""A""","""[]""","""[]""","""['R2 P0']""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['this-proposal-is-unfair', 'you-made-offer-DIV']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""um uh so you'd rather me have the low value or no value painting a little <l> and you have the two uh crates um very very valuable records""",NaN,23
NaN,"""seg023-0149""",188.967,190.437,"""B""","""[]""","""[]""","""['R0 L2 P1']""","""[]""","""[]""","""[]""","""[]""","""['offer-DIV']""","""['reference-to-DIV']""","""[]""",1,0,0,0,0,0,0,0,0,0,0,0,"""only if i had the third one""","""Alice: um uh so you'd rather me have the low value or no value painting\nAlice: a little <l> and you have the two\nAlice: uh crates um very very valuable records""",23
NaN,"""seg023-0153""",190.923,196.09,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""no the records are still valuable because it said one crate is equivalent to two""","""Alice: uh crates um very very valuable records\nBob: only if i had the third one""",23
NaN,"""seg023-0157""",196.68,197.816,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""high medium""","""Alice: uh crates um very very valuable records\nBob: only if i had the third one\nAlice: no the records are still valuable because it said one crate is equivalent to two""",23
NaN,"""seg023-0161""",198.151,201.12,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['records']""","""['No-answers', 'Statement']""","""[]""","""['ITEM-is-generally-valuable', 'this-proposal-is-unfair']""","""[]""",0,0,0,1,0,0,0,0,0,0,0,0,"""no the records are still valuable because it said one crate is equivalent to two high medium priority items one crate is equivalent to two""",NaN,23
NaN,"""seg023-0165""",199.172,199.572,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""okay""","""Bob: only if i had the third one\nAlice: no the records are still valuable because it said one crate is equivalent to two\nAlice: high medium\nAlice: priority items one crate is equivalent to two""",23
NaN,"""seg023-0169""",200.142,200.442,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""okay <ok>""","""Alice: no the records are still valuable because it said one crate is equivalent to two\nAlice: high medium\nAlice: priority items one crate is equivalent to two\nBob: okay""",23
NaN,"""seg023-0173""",201.542,203.672,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""['records']""","""['Statement']""","""['confirm-CONT']""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""okay one crate is equal to two""","""Alice: no the records are still valuable because it said one crate is equivalent to two\nAlice: high medium\nAlice: priority items one crate is equivalent to two\nBob: okay\nBob: okay <ok>""",23
NaN,"""seg023-0177""",201.645,202.675,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""medium priorities""","""Alice: no the records are still valuable because it said one crate is equivalent to two\nAlice: high medium\nAlice: priority items one crate is equivalent to two\nBob: okay\nBob: okay <ok>\nBob: okay one crate is equal to two""",23
NaN,"""seg023-0181""",204.29,205.96,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""medium priority items""","""Alice: no the records are still valuable because it said one crate is equivalent to two\nAlice: high medium\nAlice: priority items one crate is equivalent to two\nBob: okay\nBob: okay <ok>\nBob: okay one crate is equal to two\nAlice: medium priorities""",23
NaN,"""seg023-0185""",206.14,206.717,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""okay""","""Alice: high medium\nAlice: priority items one crate is equivalent to two\nBob: okay\nBob: okay <ok>\nBob: okay one crate is equal to two\nAlice: medium priorities\nAlice: medium priority items""",23
NaN,"""seg023-0189""",206.765,207.085,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""yeah""","""Alice: high medium\nAlice: priority items one crate is equivalent to two\nBob: okay\nBob: okay <ok>\nBob: okay one crate is equal to two\nAlice: medium priorities\nAlice: medium priority items\nBob: okay""",23
NaN,"""seg023-0193""",207.575,210.48,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""so the <th> the three of these together would""","""Alice: priority items one crate is equivalent to two\nBob: okay one crate is equal to two\nAlice: medium priorities\nAlice: medium priority items\nBob: okay\nAlice: yeah""",23
NaN,"""seg023-0197""",211.057,212.997,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['records']""","""[]""","""[]""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""so the <th> the three of these together would yield me a good amount of money""","""Bob: okay one crate is equal to two\nAlice: medium priority items\nBob: okay\nAlice: yeah""",23
NaN,"""seg023-0201""",213.44,213.857,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Non-verbal']""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""to""","""Alice: medium priority items\nBob: okay\nAlice: yeah\nAlice: so the <th> the three of these together would\nAlice: yield me a good amount of money""",23
NaN,"""seg023-0205""",214.797,216.54,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""to put into my nonprofit""","""Bob: okay\nAlice: yeah\nAlice: so the <th> the three of these together would\nAlice: yield me a good amount of money""",23
NaN,"""seg023-0213""",216.772,217.232,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""uh""","""Alice: so the <th> the three of these together would\nAlice: yield me a good amount of money\nAlice: to\nAlice: put into my nonprofit\nBob: okay and what about in my situation what i wanna do""",23
NaN,"""seg023-0217""",219.892,224.25,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""well you'll be able to get some money too because if one is equivalent to uh""","""Alice: put into my nonprofit\nBob: okay and what about in my situation what i wanna do\nAlice: uh""",23
NaN,"""seg023-0221""",224.881,227.43,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""a medium high value item""","""Bob: okay and what about in my situation what i wanna do\nAlice: well you'll be able to get some money too because if one is equivalent to uh""",23
NaN,"""seg023-0225""",227.935,230.315,"""A""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""then two is equivalent to""","""Alice: well you'll be able to get some money too because if one is equivalent to uh\nAlice: a medium high value item""",23
NaN,"""seg023-0229""",230.695,235.0,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['records']""","""['Statement']""","""[]""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""well you'll be able to get some money too because if one is equivalent to uh a medium high value item then two is equivalent to a good amount of money as well you would make more with yours than what i would make with mine""",NaN,23
NaN,"""seg023-0233""",234.71,235.762,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers', 'Statement']""","""['accept-deal']""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""okay good i'm happy""","""Alice: a medium high value item\nAlice: then two is equivalent to\nAlice: a good amount of money as well you would make more with yours than what i would make with mine""",23
NaN,"""seg023-0237""",236.037,238.74,"""B""","""[]""","""['laughter-in-segment']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""<laughter>""","""Alice: then two is equivalent to\nAlice: a good amount of money as well you would make more with yours than what i would make with mine\nBob: okay good i'm happy""",23
NaN,"""seg023-0241""",236.087,236.9,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""yeah right on""","""Alice: a medium high value item\nAlice: then two is equivalent to\nAlice: a good amount of money as well you would make more with yours than what i would make with mine\nBob: okay good i'm happy\nBob: <laughter>""",23
NaN,"""seg023-0249""",238.362,240.49,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""hey so i think we negotiated well uh""","""Alice: a good amount of money as well you would make more with yours than what i would make with mine\nBob: okay good i'm happy\nBob: <laughter>\nAlice: yeah right on""",23
NaN,"""seg023-0253""",240.24,242.72,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""so um so your needs are being met""","""Alice: a good amount of money as well you would make more with yours than what i would make with mine\nBob: okay good i'm happy\nBob: <laughter>\nAlice: yeah right on\nAlice: hey\nAlice: so i think we negotiated well uh""",23
NaN,"""seg023-0257""",243.092,244.58,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""well in as much because""","""Alice: a good amount of money as well you would make more with yours than what i would make with mine\nBob: okay good i'm happy\nBob: <laughter>\nAlice: yeah right on\nAlice: hey\nAlice: so i think we negotiated well uh\nBob: so um so your needs are being met""",23
NaN,"""seg023-0261""",244.67,248.11,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""it probably don't far exceed your expectations however""","""Bob: <laughter>\nAlice: so i think we negotiated well uh\nBob: so um so your needs are being met\nAlice: well in as much because""",23
NaN,"""seg023-0265""",247.246,247.686,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""right""","""Bob: <laughter>\nAlice: hey\nAlice: so i think we negotiated well uh\nBob: so um so your needs are being met\nAlice: well in as much because\nBob: it probably don't far exceed your expectations however""",23
NaN,"""seg023-0269""",248.386,249.01,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""exactly""","""Alice: so i think we negotiated well uh\nBob: so um so your needs are being met\nAlice: well in as much because\nBob: it probably don't far exceed your expectations however\nAlice: right""",23
NaN,"""seg023-0273""",248.49,249.99,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""your needs are being met""","""Alice: so i think we negotiated well uh\nBob: so um so your needs are being met\nAlice: well in as much because\nBob: it probably don't far exceed your expectations however\nAlice: right\nAlice: exactly""",23
NaN,"""seg023-0277""",250.076,250.69,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""yes""","""Bob: so um so your needs are being met\nAlice: well in as much because\nBob: it probably don't far exceed your expectations however\nAlice: right\nAlice: exactly\nBob: your needs are being met""",23
NaN,"""seg023-0281""",250.78,252.63,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""with my needs are gonna be met""","""Bob: so um so your needs are being met\nAlice: well in as much because\nBob: it probably don't far exceed your expectations however\nAlice: right\nAlice: exactly\nBob: your needs are being met\nAlice: yes""",23
NaN,"""seg023-0285""",252.636,253.31,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Acknowledge-Agree-Accept-Yes-answers']""","""[]""","""[]""","""[]""",0,0,1,0,0,0,0,0,0,0,0,0,"""yes""","""Alice: well in as much because\nBob: it probably don't far exceed your expectations however\nAlice: right\nAlice: exactly\nBob: your needs are being met\nAlice: yes\nBob: with my needs are gonna be met""",23
NaN,"""seg023-0289""",253.18,256.33,"""B""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['patter']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""with my needs are gonna be met with a little bit over to do something else""","""Bob: it probably don't far exceed your expectations however\nAlice: right\nAlice: exactly\nBob: your needs are being met\nAlice: yes""",23
